Experiment,Alpha,Lambda,Beta,Epsilon,Best_Top1,Best_Top5,Best_mAP10,Final_Top1,Final_Top5,Final_mAP10
Batch Size = 64,1.0,1.0,1.0,0.5,74.03,90.76,81.49,73.41,90.09,81.09
Batch Size = 128,1.0,1.0,1.0,0.5,80.29,93.58,86.45,80.29,93.58,86.45
Batch Size = 256,1.0,1.0,1.0,0.5,79.45,93.06,85.49,79.24,91.96,85.17
