Experiment,Alpha,Lambda,Beta,Epsilon,Best_Top1,Best_Top5,Best_mAP10,Final_Top1,Final_Top5,Final_mAP10
λ=0.1,1.0,0.1,1.0,0.5,80.08,93.58,85.85,79.91,92.00,85.52
λ=1.0,1.0,1.0,1.0,0.5,80.29,93.58,86.45,80.29,93.58,86.45
λ=10.0,1.0,10.0,1.0,0.5,78.72,92.48,84.85,78.72,91.40,84.69
λ=100.0,1.0,100.0,1.0,0.5,75.90,91.60,83.08,75.90,91.60,83.06
