Experiment,Alpha,Lambda,Beta,Epsilon,Best_Top1,Best_Top5,Best_mAP10,Final_Top1,Final_Top5,Final_mAP10
β=0.1,1.0,1.0,0.1,0.5,79.90,93.82,85.68,79.81,92.22,85.45
β=1,1.0,1.0,1.0,0.5,80.29,93.58,86.45,80.29,93.58,86.45
β=10,1.0,1.0,10.0,0.5,77.91,91.88,84.54,77.83,91.76,84.43
